Measurement outcome,Frequency
00111110110010,1
00111110110011,1
00111110111000,1
00111111000000,3
00111111000010,3
00111111011000,1
00111111100000,1
00111111100001,1
00111111100011,1
00111111100100,1
00111111101001,1
00111111110000,2
00111111111100,1
01000000000000,22
01000000000001,5
01000000000010,4
01000000000011,1
01000000000100,6
01000000000101,1
01000000000110,5
01000000000111,2
01000000001000,1
01000000001001,1
01000000001010,3
01000000001101,1
01000000001110,3
01000000010000,2
01000000010001,1
01000000010110,2
01000000011100,1
01000000011101,1
01000000011110,1
01000000100000,5
01000000100001,2
01000000100010,1
01000000100100,1
01000000100101,2
01000000100110,3
01000000100111,1
01000000101000,1
01000000101001,1
01000000101010,1
01000000101100,2
01000000101110,1
01000000110000,2
01000000110011,1
01000000110100,1
01000000110111,1
01000000111000,2
01000000111110,1
01000001000000,2
01000001000001,1
01000001000010,1
01000001000100,2
01000001000101,1
01000001000111,1
01000001001000,2
01000001010000,3
01000001010001,2
01000001010010,1
01000001010100,1
01000001011000,1
01000001011010,1
01000001011110,2
01000001100000,6
01000001100010,1
01000001100100,1
01000001101000,1
01000001101010,1
01000001101100,2
01000001101111,1
01000001110000,1
01000001110100,1
01000001111010,1
01000001111100,3
01000010000000,10
01000010000001,1
01000010000010,4
01000010000100,2
01000010000101,1
01000010000110,1
01000010001100,2
01000010001110,3
01000010010000,2
01000010010010,1
01000010010011,1
01000010010100,1
01000010010101,1
01000010010110,1
01000010010111,1
01000010011010,1
01000010100000,6
01000010100010,1
01000010100100,5
01000010100101,1
01000010100110,2
01000010101000,1
01000010101010,1
01000010101011,1
01000010101100,1
01000010101101,1
01000010110000,1
01000010110100,1
01000010110110,1
01000010111101,1
01000011000000,6
01000011000010,1
01000011000100,1
01000011000101,2
01000011000110,2
01000011001000,1
01000011001100,1
01000011001110,3
01000011010000,1
01000011010010,1
01000011010100,1
01000011011010,1
01000011011100,1
01000011011101,1
01000011011111,1
01000011100000,4
01000011100010,1
01000011100100,5
01000011100101,2
01000011100111,1
01000011101000,2
01000011101010,1
01000011101100,2
01000011110000,2
01000011110001,1
01000011110100,1
01000011110110,1
01000011111100,1
01000011111111,1
01000100000000,10
01000100000001,2
01000100000010,2
01000100000011,1
01000100000100,6
01000100000101,2
01000100000110,1
01000100001000,4
01000100001001,1
01000100001010,1
01000100001100,2
01000100001110,1
01000100001111,1
01000100010000,4
01000100010010,2
01000100011010,1
01000100011100,1
01000100011111,1
01000100100000,4
01000100100001,3
01000100100010,2
01000100100011,1
01000100100100,2
01000100100110,1
01000100101000,2
01000100101001,1
01000100101010,2
01000100110000,2
01000100110010,1
01000100110100,1
01000100110101,1
01000100110110,1
01000100110111,1
01000100111000,1
01000100111100,1
01000100111110,1
01000101000000,4
01000101000001,1
01000101000010,1
01000101000100,8
01000101001001,1
01000101001010,1
01000101001100,1
01000101001110,2
01000101010000,1
01000101011000,1
01000101100000,4
01000101100101,2
01000101100111,1
01000101110000,1
01000101110001,1
01000101111000,2
01000101111110,1
01000110000000,4
01000110000001,1
